نورج,  ,Arabeyes Technical Dictionary
هيديوغرافيا,  ,Arabeyes Technical Dictionary
Abort, إجهاض ,Arabeyes Technical Dictionary
Abortive release, انقطاع (شبكي) مجهض ,Arabeyes Technical Dictionary
Abscissa, فاصلة ,Arabeyes Technical Dictionary
Absolute, مطلق(ة) (قيمة) ,Arabeyes Technical Dictionary
Absolute address, عنوان مطلق ,Arabeyes Technical Dictionary
Absolute path, مسار مطلق ,Arabeyes Technical Dictionary
Absolute pathname, اسم مسار مطلق ,Arabeyes Technical Dictionary
Abstract, مجرَّد ,Arabeyes Technical Dictionary
Abstract class, صنف مجرد ,Arabeyes Technical Dictionary
Abstract data type, نوع بيانات مجرد ,Arabeyes Technical Dictionary
Abstract datatype, نوع بيانات مجرد ,Arabeyes Technical Dictionary
Abstract interpretation, تأويل مجرد ,Arabeyes Technical Dictionary
Abstraction, تجريد ,Arabeyes Technical Dictionary
Abstract machine, آلة مجردة ,Arabeyes Technical Dictionary
Abstract method, طريقة مجردة ,Arabeyes Technical Dictionary
Abstract syntax, بنية مجردة ,Arabeyes Technical Dictionary
Abstract syntax tree, شجرة بنية مجردة ,Arabeyes Technical Dictionary
Accelerated Graphics,  ,Arabeyes Technical Dictionary
Accelerator, مسرِّع ,Arabeyes Technical Dictionary
Accent, حركة ,Arabeyes Technical Dictionary
Accept, قبول ,Arabeyes Technical Dictionary
Acceptance testing, اختبار القبول ,Arabeyes Technical Dictionary
Access, نفاذ ,Arabeyes Technical Dictionary
Access control list, قائمة التحكم بالنفاذ ,Arabeyes Technical Dictionary
Accessibility, إتاحة ,Arabeyes Technical Dictionary
Accessible, مُتَاح ,Arabeyes Technical Dictionary
Access level, مستوى النفاذ ,Arabeyes Technical Dictionary
Access memory, ذاكرة النفاذ ,Arabeyes Technical Dictionary
Accessory, كمالي ,Arabeyes Technical Dictionary
Access point, نقطة العبور ,Arabeyes Technical Dictionary
Account, حساب ,Arabeyes Technical Dictionary
Accounting management, تسيير الحسابات ,Arabeyes Technical Dictionary
Accumulator, مركِّم ,Arabeyes Technical Dictionary
Accuracy, دقة ,Arabeyes Technical Dictionary
Acknowledgment, عرفان :: شكر ,Arabeyes Technical Dictionary
Acoustic coupler,  ,Arabeyes Technical Dictionary
Acquire, اكتساب ,Arabeyes Technical Dictionary
Acronym,  ,Arabeyes Technical Dictionary
Action, إجراء ,Arabeyes Technical Dictionary
Activate, تنشيط , تفعيل ,Arabeyes Technical Dictionary
Active, نشِيط ,Arabeyes Technical Dictionary
Activity, نشاط ,Arabeyes Technical Dictionary
Actor, فاعل ,Arabeyes Technical Dictionary
Actuator, مشغّل ,Arabeyes Technical Dictionary
Adapt, تكييف ,Arabeyes Technical Dictionary
Adapter, مكيف ,Arabeyes Technical Dictionary
Adaptive answering, إجابة تكيفية ,Arabeyes Technical Dictionary
Adaptive learning, تعلم تكييفي ,Arabeyes Technical Dictionary
Adaptive routing, توجيه تكيفي ,Arabeyes Technical Dictionary
Add, إضافة ,Arabeyes Technical Dictionary
Add-In,  ,Arabeyes Technical Dictionary
Add-in, مضاف ,Arabeyes Technical Dictionary
Additional, إضافي ,Arabeyes Technical Dictionary
Additive, انضمامي ,Arabeyes Technical Dictionary
Addon,  ,Arabeyes Technical Dictionary
Addon CD,  ,Arabeyes Technical Dictionary
Address, عنوان ,Arabeyes Technical Dictionary
Address book, دفتر عناوين ,Arabeyes Technical Dictionary
Address bus, ناقل عناوين ,Arabeyes Technical Dictionary
Addressee, مرسل إليه ,Arabeyes Technical Dictionary
Addressing, عنونة ,Arabeyes Technical Dictionary
Adjacency, تجاور ,Arabeyes Technical Dictionary
Adjacent, مجاور ,Arabeyes Technical Dictionary
Adjust, ضبط ,Arabeyes Technical Dictionary
Admin, مدير ,Arabeyes Technical Dictionary
Administration, إدارة ,Arabeyes Technical Dictionary
Administrative, إداري ,Arabeyes Technical Dictionary
Administrator, مدير ,Arabeyes Technical Dictionary
Advance, تقدم ,Arabeyes Technical Dictionary
Advanced, متقدم ,Arabeyes Technical Dictionary
Affix, زائدة ,Arabeyes Technical Dictionary
Agenda, مفكرة ,Arabeyes Technical Dictionary
Agent, مفوّض ,Arabeyes Technical Dictionary
Aggregate, مُجمَل ,Arabeyes Technical Dictionary
Aggregate type, نوع مُجمَل ,Arabeyes Technical Dictionary
Aggregation, تجميع ,Arabeyes Technical Dictionary
Aggregator, مُجمِّع ,Arabeyes Technical Dictionary
Aging, تقادم ,Arabeyes Technical Dictionary
AGP,  ,Arabeyes Technical Dictionary
Agree, موافق ,Arabeyes Technical Dictionary
Agreement, اتفاق ,Arabeyes Technical Dictionary
Airbrush, مرذاذ صباغة ,Arabeyes Technical Dictionary
Alarm, منبه ,Arabeyes Technical Dictionary
Alarm clock, منبه ,Arabeyes Technical Dictionary
Aleph, ألف ,Arabeyes Technical Dictionary
Alert, تنبيه , إنذار ,Arabeyes Technical Dictionary
Alert box, حوار التنبيه ,Arabeyes Technical Dictionary
